"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"2","针对单个接口测试","0","用户登录模块","0","0","用例--登录用户","0"
"0","针对单个接口测试","0","获取验车项目列表","1","0","用例--获取验车项目列表","0"
